angle_deg,R2,R3,R4,R5,R6,R7,R8,R9,R10
2.5,0.2,0.4,0.6,1.4,2,3.4,5.8,4.8,9.1
2.6,0.2,0.6,0.8,1.4,1.3,2.4,6.1,4.6,6.3
2.7,0.2,0.5,1.1,1.6,1.9,2,4.8,5.8,8.1
2.8,0.3,0.3,1,2,1.5,2.9,3.2,5.9,7.9
2.9,0.2,0.3,0.5,0.9,1.5,2.9,4.4,6.6,7.3
3,0.2,0.2,0.7,0.7,2.1,2.5,4.3,5.5,6.9
3.1,0.2,0.3,0.6,1.3,1.3,3.1,4,6.9,6.8
3.2,0.4,0.2,0.6,1.1,1.1,1.9,4.8,5.6,8.2
3.3,0.4,0.4,1,1.4,1.8,2.8,3.9,7.1,8.9
3.4,0.1,0,0.4,0.6,1.2,2.8,3.1,6.9,9.4
3.5,0,0.3,0.8,0.5,1.5,2.8,4.1,5.9,10
3.6,0.1,0.4,0.8,0.8,1.6,3,4.3,5.9,16.3
3.7,0.4,0.7,0.6,1.6,1.8,2.5,4,5.4,54.3
3.8,0.2,0.3,0.6,1.9,1.2,3.4,3.9,8.9,153.5
3.9,0.2,0.2,0.6,1.4,0.8,3.6,4.1,17.5,311.6
4,0.3,0.6,0.7,1.2,1.7,2.1,5.1,44.8,465.2
4.1,0.4,0.2,0.4,0.9,1.1,3.4,7,132.7,555.3
4.2,0.2,0.1,0.5,0.9,2.5,2.2,8.3,263.3,636.1
4.3,0.3,0.7,0.4,1.2,1.7,2.5,26.1,368.7,701.1
4.4,0.3,0.3,0.1,1.8,1.5,3.3,82.9,454.6,738.2
4.5,0.4,0.4,0.4,1.7,0.9,3.7,193.3,536.4,787.9
4.6,0.3,0.1,0.3,1.4,1.6,4.2,281.4,580.2,808.3
4.7,0.2,0.3,1,1.3,2.4,13.8,345.8,616.3,816.4
4.8,0.2,0.6,0.6,1.1,1,48.8,387.4,635.6,847.9
4.9,0,0.4,0.4,1.2,2.4,104.8,439.3,673.3,851.3
5,0.1,0.1,0.6,0.8,2.1,177.8,472.5,680.4,830.7
5.1,0.2,0.7,0.6,0.8,3.7,241,508.1,676.9,840
5.2,0.2,0.3,0.8,1.2,17,276.6,518.3,680.4,829.8
5.3,0.2,0.4,1,3.2,48.5,320.5,518.7,659.6,820.4
5.4,0.3,0.1,1,9,88.8,342.2,529.7,667.8,799.8
5.5,0.1,0.2,0.7,32.4,136.7,360.4,524.1,644.9,785.2
5.6,0.3,0.4,0.9,66.4,175.6,360.2,511.3,644.9,767.5
5.7,0.3,0.3,0.8,110.4,198.9,372.2,511.9,636.1,742.8
5.8,0.1,0.3,0.9,140.8,216.9,374.7,503.2,619.4,720.9
5.9,0.1,0.4,1.3,161.4,233.1,359.2,509.3,598.3,686.2
6,0.1,0.3,1.8,181.8,245.8,378.2,489.6,597.6,689.6
6.1,0.1,0.5,6.8,200.2,252.7,385,524.6,639.7,751.3
6.2,0.1,0,19.3,219.1,291,460.3,635.9,813.7,994.9
6.3,0.2,0.3,41.4,246.3,316.1,521.4,760.1,976.5,1221.1
6.4,0.2,0.4,62.7,242.2,312.4,491.8,711,947,1167.7
6.5,0.4,0.6,87.9,228.5,270,421.5,579.4,710,851.5
6.6,0,0.2,94.9,217.5,263.6,364.6,475.4,559.1,649.3
6.7,0,0.3,112.8,214.5,254.2,334.1,437.5,505.3,584.5
6.8,0.2,0.5,118.4,213.3,260.3,327.1,432.1,507.9,569.7
6.9,0.2,0.2,116.6,218.5,259.5,367.1,494.8,602.1,701.8
7,0.4,0.5,124.2,260.4,339.6,561.8,864.4,1141,1430
7.1,0.1,0.7,121.1,303.7,424,780.5,1251.2,1661.8,2122.1
7.2,0.2,0.4,122.3,285,388.1,725.9,1185.3,1628.8,2058.7
7.3,0.2,0.5,123.1,240.6,284.5,501.3,730.7,1003.9,1261.7
7.4,0.3,2.8,117.3,190.4,230.5,319.1,420.4,543.8,650.5
