Crystal angle θ_c	X-ray Impulse /Imp
3	254
3.1	237
3.2	212
3.3	185
3.4	155
3.5	138
3.6	133
3.7	107
3.8	125
3.9	94
4	105
4.1	88
4.2	85
4.3	65
4.4	67
4.5	75
4.6	84
4.7	66
4.8	70
4.9	75
5	85
5.1	83
5.2	86
5.3	102
5.4	135
5.5	138
5.6	189
5.7	98
5.8	106
5.9	104
6	158
6.1	298
6.2	466
6.3	491
6.4	128
6.5	107
6.6	106
6.7	94
6.8	113
6.9	101
7	105
7.1	118
7.2	110
7.3	114
7.4	112
7.5	118
7.6	111
7.7	122
7.8	138
7.9	132
8	152
8.1	173
8.2	229
8.3	218
8.4	220
8.5	209
8.6	232
8.7	207
8.8	220
8.9	216
9	218
9.1	216
9.2	205
9.3	223
9.4	230
9.5	213
9.6	207
9.7	225
9.8	215
9.9	219
10	195
10.1	211
10.2	205
10.3	191
10.4	213
10.5	202
10.6	198
10.7	179
10.8	185
10.9	206
11	201
11.1	234
11.2	227
11.3	226
11.4	211
11.5	211
11.6	181
11.7	182
11.8	173
11.9	182
12	207
12.1	191
12.2	190
12.3	219
12.4	329
12.5	371
12.6	241
12.7	175
12.8	172
12.9	183
13	203
13.1	168
13.2	154
13.3	158
13.4	151
13.5	153
13.6	129
13.7	120
13.8	136
13.9	137
14	131
14.1	130
14.2	113
14.3	105
14.4	118
14.5	119
14.6	128
14.7	106
14.8	109
14.9	93
15	98
15.1	85
15.2	94
15.3	95
15.4	93
15.5	100
15.6	90
15.7	97
15.8	98
15.9	88
16	87
16.1	80
16.2	90
16.3	102
16.4	109
16.5	95
16.6	98
16.7	111
16.8	108
16.9	113
17	97
17.1	102
17.2	95
17.3	107
17.4	97
17.5	92
17.6	94
17.7	84
17.8	110
17.9	99
18	99
18.1	105
18.2	103
18.3	90
18.4	97
18.5	96
18.6	93
18.7	109
18.8	130
18.9	133
19	118
19.1	88
19.2	85
19.3	81
19.4	93
19.5	82
19.6	99
19.7	86
19.8	89
19.9	101
20	89
20.1	75
20.2	94
20.3	94
20.4	94
20.5	93
20.6	87
20.7	84
20.8	92
20.9	80
21	93
21.1	81
21.2	83
21.3	86
21.4	79
21.5	85
21.6	75
21.7	76
21.8	87
21.9	80
22	78
22.1	83
22.2	90
22.3	85
22.4	83
22.5	86
22.6	99
22.7	78
22.8	87
22.9	81
23	82
23.1	91
23.2	84
23.3	81
23.4	85
23.5	86
23.6	84
23.7	89
23.8	84
23.9	76
24	78
24.1	75
24.2	83
24.3	79
24.4	65
24.5	74
24.6	78
24.7	75
24.8	84
24.9	79
25	80
25.1	92
25.2	89
25.3	91
25.4	71
25.5	99
25.6	84
25.7	90
25.8	83
25.9	71
26	81
26.1	74
26.2	82
26.3	75
26.4	76
26.5	84
26.6	81
26.7	77
26.8	81
26.9	74
27	81
27.1	86
27.2	70
27.3	65
27.4	76
27.5	78
27.6	80
27.7	80
27.8	83
27.9	74
28	78
28.1	79
28.2	70
28.3	75
28.4	80
28.5	66
28.6	80
28.7	76
28.8	84
28.9	72
29	86
29.1	79
29.2	71
29.3	86
29.4	62
29.5	72
29.6	76
29.7	71
29.8	72
29.9	83
30	73
