Crystal angle θ_c	X-ray  Impulse /Imp
3	270
3.1	254
3.2	217
3.3	190
3.4	158
3.5	138
3.6	139
3.7	97
3.8	87
3.9	67
4	62
4.1	61
4.2	47
4.3	45
4.4	42
4.5	37
4.6	44
4.7	47
4.8	44
4.9	39
5	46
5.1	52
5.2	46
5.3	64
5.4	81
5.5	107
5.6	110
5.7	156
5.8	168
5.9	170
6	191
6.1	207
6.2	214
6.3	221
6.4	246
6.5	224
6.6	247
6.7	239
6.8	259
6.9	255
7	254
7.1	282
7.2	260
7.3	299
7.4	304
7.5	292
7.6	295
7.7	294
7.8	303
7.9	290
8	318
8.1	329
8.2	319
8.3	314
8.4	350
8.5	356
8.6	331
8.7	348
8.8	384
8.9	514
9	582
9.1	813
9.2	969
9.3	742
9.4	487
9.5	383
9.6	379
9.7	386
9.8	390
9.9	538
10	948
10.1	1278
10.2	2084
10.3	3262
10.4	2829
10.5	1317
10.6	631
10.7	414
10.8	421
10.9	451
11	433
11.1	418
11.2	443
11.3	421
11.4	437
11.5	438
11.6	476
11.7	457
11.8	445
11.9	428
12	460
12.1	451
12.2	458
12.3	474
12.4	421
12.5	426
12.6	436
12.7	428
12.8	438
12.9	443
13	443
13.1	442
13.2	417
13.3	411
13.4	403
13.5	366
13.6	353
13.7	360
13.8	373
13.9	362
14	371
14.1	372
14.2	353
14.3	370
14.4	361
14.5	368
14.6	343
14.7	352
14.8	361
14.9	359
15	323
15.1	341
15.2	334
15.3	321
15.4	310
15.5	332
15.6	333
15.7	330
15.8	335
15.9	284
16	310
16.1	348
16.2	304
16.3	296
16.4	299
16.5	296
16.6	310
16.7	290
16.8	263
16.9	272
17	296
17.1	270
17.2	259
17.3	277
17.4	263
17.5	251
17.6	275
17.7	266
17.8	216
17.9	273
18	256
18.1	278
18.2	290
18.3	299
18.4	344
18.5	342
18.6	298
18.7	271
18.8	284
18.9	286
19	259
19.1	267
19.2	246
19.3	248
19.4	252
19.5	219
19.6	239
19.7	232
19.8	215
19.9	235
20	236
20.1	218
20.2	219
20.3	219
20.4	239
20.5	293
20.6	364
20.7	536
20.8	676
20.9	590
21	401
21.1	258
21.2	214
21.3	202
21.4	195
21.5	188
21.6	210
21.7	235
21.8	210
21.9	189
22	140
22.1	185
22.2	165
22.3	143
22.4	142
22.5	148
22.6	156
22.7	151
22.8	141
22.9	155
23	130
23.1	127
23.2	134
23.3	128
23.4	120
23.5	114
23.6	120
23.7	120
23.8	106
23.9	119
24	93
24.1	107
24.2	121
24.3	115
24.4	112
24.5	106
24.6	105
24.7	102
24.8	94
24.9	98
25	86
25.1	99
25.2	84
25.3	90
25.4	81
25.5	91
25.6	79
25.7	75
25.8	77
25.9	70
26	80
26.1	70
26.2	79
26.3	76
26.4	63
26.5	63
26.6	71
26.7	60
26.8	64
26.9	61
27	55
27.1	65
27.2	69
27.3	61
27.4	63
27.5	67
27.6	55
27.7	57
27.8	55
27.9	42
28	47
28.1	59
28.2	65
28.3	63
28.4	47
28.5	46
28.6	48
28.7	51
28.8	44
28.9	46
29	52
29.1	45
29.2	42
29.3	35
29.4	45
29.5	39
29.6	39
29.7	44
29.8	40
29.9	37
30	40
