X-ray (ID 01) / Crystal angle theta_c	X-Ray Impulse1 /Imp
3	210
3.1	217
3.2	244
3.3	227
3.4	195
3.5	169
3.6	147
3.7	131
3.8	119
3.9	136
4	120
4.1	108
4.2	110
4.3	107
4.4	112
4.5	90
4.6	121
4.7	84
4.8	100
4.9	109
5	83
5.1	92
5.2	107
5.3	92
5.4	96
5.5	96
5.6	98
5.7	92
5.8	99
5.9	87
6	100
6.1	142
6.2	148
6.3	159
6.4	186
6.5	173
6.6	114
6.7	109
6.8	105
6.9	187
7	474
7.1	386
7.2	463
7.3	454
7.4	123
7.5	131
7.6	125
7.7	125
7.8	120
7.9	135
8	131
8.1	116
8.2	126
8.3	132
8.4	128
8.5	131
8.6	133
8.7	124
8.8	137
8.9	139
9	120
9.1	137
9.2	123
9.3	116
9.4	118
9.5	115
9.6	113
9.7	108
9.8	111
9.9	104
10	119
10.1	99
10.2	113
10.3	108
10.4	101
10.5	105
10.6	110
10.7	108
10.8	114
10.9	106
11	102
11.1	102
11.2	102
11.3	103
11.4	91
11.5	105
11.6	115
11.7	90
11.8	91
11.9	88
12	101
12.1	98
12.2	102
12.3	98
12.4	100
12.5	94
12.6	111
12.7	137
12.8	130
12.9	133
13	116
13.1	111
13.2	100
13.3	86
13.4	97
13.5	91
13.6	105
13.7	79
13.8	96
13.9	86
14	82
14.1	90
14.2	102
14.3	214
14.4	247
14.5	260
14.6	286
14.7	154
14.8	99
14.9	74
15	83
15.1	98
15.2	80
15.3	71
15.4	74
15.5	73
15.6	71
15.7	67
15.8	65
15.9	83
16	70
16.1	65
16.2	65
16.3	61
16.4	67
16.5	61
16.6	58
16.7	56
16.8	50
16.9	51
17	56
17.1	56
17.2	55
17.3	57
17.4	62
17.5	56
17.6	45
17.7	57
17.8	50
17.9	41
18	45
18.1	39
18.2	39
18.3	43
18.4	55
18.5	47
18.6	47
18.7	54
18.8	45
18.9	47
19	42
19.1	47
19.2	45
19.3	46
19.4	49
19.5	54
19.6	58
19.7	58
19.8	38
19.9	29
20	34
20.1	44
20.2	39
20.3	35
20.4	41
20.5	33
20.6	34
20.7	30
20.8	33
20.9	27
21	29
21.1	34
21.2	40
21.3	37
21.4	31
21.5	33
21.6	32
21.7	35
21.8	43
21.9	75
22	94
22.1	120
22.2	103
22.3	79
22.4	37
22.5	27
22.6	30
22.7	34
22.8	31
22.9	25
23	34
23.1	26
23.2	29
23.3	30
23.4	29
23.5	36
23.6	28
23.7	30
23.8	23
23.9	29
24	24
24.1	33
24.2	33
24.3	23
24.4	22
24.5	21
24.6	21
24.7	16
24.8	20
24.9	23
25	26
25.1	23
25.2	21
25.3	27
25.4	25
25.5	22
25.6	22
25.7	24
25.8	24
25.9	30
26	29
26.1	21
26.2	25
26.3	17
26.4	28
26.5	21
26.6	21
26.7	22
26.8	23
26.9	22
27	21
27.1	20
27.2	25
27.3	22
27.4	17
27.5	22
27.6	17
27.7	22
27.8	19
27.9	22
28	21
28.1	19
28.2	20
28.3	18
28.4	15
28.5	20
28.6	22
28.7	17
28.8	16
28.9	13
29	21
29.1	16
29.2	22
29.3	19
29.4	18
29.5	13
29.6	18
29.7	10
29.8	19
29.9	18
30	30
