Crystal angle θ_c	X-Ray Impulse 1 /Imp
3	6206
3.1	5055
3.2	3446
3.3	1723
3.4	1136
3.5	910
3.6	713
3.7	572
3.8	523
3.9	466
4	410
4.1	370
4.2	344
4.3	292
4.4	276
4.5	242
4.6	224
4.7	184
4.8	185
4.9	182
5	168
5.1	160
5.2	163
5.3	160
5.4	172
5.5	185
5.6	173
5.7	165
5.8	190
5.9	207
6	159
6.1	178
6.2	250
6.3	245
6.4	160
6.5	161
6.6	166
6.7	174
6.8	167
6.9	164
7	192
7.1	177
7.2	167
7.3	169
7.4	186
7.5	193
7.6	184
7.7	176
7.8	182
7.9	168
8	179
8.1	177
8.2	163
8.3	184
8.4	186
8.5	177
8.6	187
8.7	179
8.8	185
8.9	188
9	172
9.1	188
9.2	201
9.3	209
9.4	187
9.5	159
9.6	184
9.7	193
9.8	189
9.9	196
10	175
10.1	163
10.2	167
10.3	179
10.4	174
10.5	191
10.6	168
10.7	176
10.8	204
10.9	246
11	269
11.1	405
11.2	478
11.3	234
11.4	181
11.5	178
11.6	180
11.7	182
11.8	187
11.9	185
12	211
12.1	214
12.2	232
12.3	221
12.4	406
12.5	1173
12.6	1608
12.7	661
12.8	236
12.9	164
13	170
13.1	164
13.2	153
13.3	152
13.4	159
13.5	160
13.6	143
13.7	145
13.8	140
13.9	143
14	140
14.1	133
14.2	147
14.3	153
14.4	135
14.5	128
14.6	155
14.7	136
14.8	158
14.9	133
15	137
15.1	127
15.2	131
15.3	124
15.4	133
15.5	123
15.6	120
15.7	118
15.8	127
15.9	120
16	128
16.1	131
16.2	125
16.3	116
16.4	110
16.5	104
16.6	107
16.7	102
16.8	101
16.9	118
17	102
17.1	110
17.2	101
17.3	93
17.4	85
17.5	89
17.6	94
17.7	101
17.8	86
17.9	90
18	83
18.1	79
18.2	87
18.3	87
18.4	70
18.5	70
18.6	75
18.7	73
18.8	75
18.9	67
19	87
19.1	97
19.2	79
19.3	68
19.4	65
19.5	67
19.6	59
19.7	52
19.8	63
19.9	64
20	58
20.1	52
20.2	55
20.3	59
20.4	57
20.5	51
20.6	45
20.7	39
20.8	52
20.9	51
21	55
21.1	52
21.2	50
21.3	51
21.4	51
21.5	48
21.6	41
21.7	45
21.8	44
21.9	45
22	42
22.1	47
22.2	39
22.3	43
22.4	49
22.5	45
22.6	40
22.7	40
22.8	54
22.9	60
23	38
23.1	34
23.2	35
23.3	37
23.4	32
23.5	32
23.6	37
23.7	27
23.8	30
23.9	28
24	32
24.1	35
24.2	30
24.3	31
24.4	25
24.5	32
24.6	27
24.7	31
24.8	28
24.9	29
25	25
25.1	29
25.2	25
25.3	25
25.4	28
25.5	20
25.6	25
25.7	27
25.8	34
25.9	55
26	42
26.1	30
26.2	30
26.3	29
26.4	20
26.5	19
26.6	23
26.7	24
26.8	19
26.9	14
27	23
27.1	20
27.2	24
27.3	17
27.4	15
27.5	19
27.6	19
27.7	18
27.8	20
27.9	15
28	22
28.1	15
28.2	16
28.3	18
28.4	17
28.5	15
28.6	17
28.7	13
28.8	19
28.9	19
29	24
29.1	18
29.2	18
29.3	16
29.4	12
29.5	15
29.6	12
29.7	11
29.8	13
29.9	15
30	21
